gym_id,gym_name,location,membership_type,monthly_fee_inr,personal_training_fee_inr,diet_plan,recommended_workout,trainer_level,opening_time,closing_time,has_cardio_section,has_weightlifting_section,has_group_classes,rating
36,Core Strength Studio,Hyderabad,Monthly,4804,9473,Weight Loss,Upper Lower Split,Beginner,6:00 AM,9:00 PM,Yes,No,No,4.5
37,Elite Muscle Club,Hyderabad,Yearly,1689,7906,Weight Loss,CrossFit,Beginner,5:00 AM,9:00 PM,Yes,No,Yes,4.2
38,Alpha Gym,Chennai,Monthly,2850,11278,Muscle Gain,Upper Lower Split,Advanced,5:00 AM,9:00 PM,Yes,Yes,No,4.2
39,Core Strength Studio,Chennai,Half-Yearly,2577,7767,High Protein,CrossFit,Advanced,6:00 AM,9:00 PM,No,Yes,Yes,3.6
40,Beast Mode Fitness,Mumbai,Quarterly,2421,11577,Weight Loss,Bodybuilding,Intermediate,6:00 AM,10:00 PM,Yes,Yes,No,4.8
41,Alpha Gym,Bangalore,Half-Yearly,1631,4157,Low Carb,Upper Lower Split,Intermediate,6:00 AM,9:00 PM,Yes,No,Yes,5.0
42,Flex Arena,Mumbai,Quarterly,3979,5246,Balanced Diet,HIIT,Advanced,5:00 AM,11:00 PM,Yes,Yes,No,4.9
43,FitZone,Hyderabad,Quarterly,1890,7678,Keto,CrossFit,Intermediate,6:00 AM,9:00 PM,No,Yes,Yes,4.9
44,Beast Mode Fitness,Chennai,Yearly,4250,10438,Balanced Diet,Bodybuilding,Advanced,5:00 AM,10:00 PM,No,Yes,Yes,4.7
45,Alpha Gym,Chennai,Half-Yearly,4864,5271,Low Carb,Push Pull Legs,Advanced,5:00 AM,11:00 PM,Yes,No,No,4.6
46,Iron Temple,Chennai,Quarterly,4368,5476,Low Carb,Full Body,Intermediate,5:00 AM,10:00 PM,No,No,Yes,4.0
47,PowerFit Gym,Delhi,Monthly,1407,6604,Balanced Diet,Bodybuilding,Intermediate,6:00 AM,10:00 PM,No,Yes,No,4.5
48,Iron Temple,Hyderabad,Yearly,2311,10548,Low Carb,Upper Lower Split,Beginner,5:00 AM,11:00 PM,Yes,No,Yes,4.8
49,StrongLife Gym,Delhi,Yearly,3979,5758,Balanced Diet,HIIT,Advanced,6:00 AM,9:00 PM,No,Yes,Yes,4.0
50,Beast Mode Fitness,Delhi,Quarterly,1304,8665,Weight Loss,Cardio + Strength,Intermediate,6:00 AM,11:00 PM,Yes,Yes,No,4.3
